"","name","forecast.wk","value","team","season","location","target","pred.type","bin.lwr","bin.upr.strict"
"1","point",0,76.1305036498733,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"2","p(0<=peak_incidence<15)",0,0.0037,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"3","p(15<=peak_incidence<30)",0,0.0632,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"4","p(30<=peak_incidence<45)",0,0.1396,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"5","p(45<=peak_incidence<60)",0,0.1548,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"6","p(60<=peak_incidence<75)",0,0.1305,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"7","p(75<=peak_incidence<90)",0,0.1119,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"8","p(90<=peak_incidence<105)",0,0.0806,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"9","p(105<=peak_incidence<120)",0,0.0622,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"10","p(120<=peak_incidence<135)",0,0.0469,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"11","p(135<=peak_incidence<150)",0,0.0422,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"12","p(150<=peak_incidence)",0,0.1644,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"13","point",4,73.9496626791385,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"14","p(0<=peak_incidence<15)",4,0.0041,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"15","p(15<=peak_incidence<30)",4,0.0747,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"16","p(30<=peak_incidence<45)",4,0.1496,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"17","p(45<=peak_incidence<60)",4,0.1497,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"18","p(60<=peak_incidence<75)",4,0.1281,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"19","p(75<=peak_incidence<90)",4,0.1014,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"20","p(90<=peak_incidence<105)",4,0.0804,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"21","p(105<=peak_incidence<120)",4,0.0662,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"22","p(120<=peak_incidence<135)",4,0.0474,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"23","p(135<=peak_incidence<150)",4,0.033,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"24","p(150<=peak_incidence)",4,0.1654,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"25","point",8,76.2344404869213,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"26","p(0<=peak_incidence<15)",8,0.0025,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"27","p(15<=peak_incidence<30)",8,0.0693,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"28","p(30<=peak_incidence<45)",8,0.1421,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"29","p(45<=peak_incidence<60)",8,0.1478,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"30","p(60<=peak_incidence<75)",8,0.1287,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"31","p(75<=peak_incidence<90)",8,0.1093,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"32","p(90<=peak_incidence<105)",8,0.0832,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"33","p(105<=peak_incidence<120)",8,0.0623,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"34","p(120<=peak_incidence<135)",8,0.0506,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"35","p(135<=peak_incidence<150)",8,0.0411,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"36","p(150<=peak_incidence)",8,0.1631,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"37","point",12,71.2894643689385,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"38","p(0<=peak_incidence<15)",12,0.0061,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"39","p(15<=peak_incidence<30)",12,0.0831,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"40","p(30<=peak_incidence<45)",12,0.1486,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"41","p(45<=peak_incidence<60)",12,0.1555,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"42","p(60<=peak_incidence<75)",12,0.1351,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"43","p(75<=peak_incidence<90)",12,0.104,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"44","p(90<=peak_incidence<105)",12,0.0742,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"45","p(105<=peak_incidence<120)",12,0.0564,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"46","p(120<=peak_incidence<135)",12,0.0497,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"47","p(135<=peak_incidence<150)",12,0.0358,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"48","p(150<=peak_incidence)",12,0.1515,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"49","point",16,64.2874723909883,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"50","p(0<=peak_incidence<15)",16,0.0145,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"51","p(15<=peak_incidence<30)",16,0.1272,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"52","p(30<=peak_incidence<45)",16,0.1696,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"53","p(45<=peak_incidence<60)",16,0.148,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"54","p(60<=peak_incidence<75)",16,0.1268,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"55","p(75<=peak_incidence<90)",16,0.0906,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"56","p(90<=peak_incidence<105)",16,0.0684,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"57","p(105<=peak_incidence<120)",16,0.0517,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"58","p(120<=peak_incidence<135)",16,0.0368,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"59","p(135<=peak_incidence<150)",16,0.0298,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"60","p(150<=peak_incidence)",16,0.1366,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"61","point",20,68.6565789081758,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"62","p(0<=peak_incidence<15)",20,0.0083,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"63","p(15<=peak_incidence<30)",20,0.0987,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"64","p(30<=peak_incidence<45)",20,0.1662,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"65","p(45<=peak_incidence<60)",20,0.1507,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"66","p(60<=peak_incidence<75)",20,0.1258,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"67","p(75<=peak_incidence<90)",20,0.093,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"68","p(90<=peak_incidence<105)",20,0.0714,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"69","p(105<=peak_incidence<120)",20,0.0591,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"70","p(120<=peak_incidence<135)",20,0.0439,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"71","p(135<=peak_incidence<150)",20,0.0327,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"72","p(150<=peak_incidence)",20,0.1502,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"73","point",24,54.7546481329877,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"74","p(0<=peak_incidence<15)",24,0.0328,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"75","p(15<=peak_incidence<30)",24,0.1688,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"76","p(30<=peak_incidence<45)",24,0.19,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"77","p(45<=peak_incidence<60)",24,0.1559,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"78","p(60<=peak_incidence<75)",24,0.1127,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"79","p(75<=peak_incidence<90)",24,0.0794,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"80","p(90<=peak_incidence<105)",24,0.0598,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"81","p(105<=peak_incidence<120)",24,0.0447,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"82","p(120<=peak_incidence<135)",24,0.031,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"83","p(135<=peak_incidence<150)",24,0.0242,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"84","p(150<=peak_incidence)",24,0.1007,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"85","point",28,43.3807118932116,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"86","p(0<=peak_incidence<15)",28,0.0632,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"87","p(15<=peak_incidence<30)",28,0.2421,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"88","p(30<=peak_incidence<45)",28,0.2122,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"89","p(45<=peak_incidence<60)",28,0.1485,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"90","p(60<=peak_incidence<75)",28,0.0973,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"91","p(75<=peak_incidence<90)",28,0.0645,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"92","p(90<=peak_incidence<105)",28,0.0471,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"93","p(105<=peak_incidence<120)",28,0.0302,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"94","p(120<=peak_incidence<135)",28,0.0208,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"95","p(135<=peak_incidence<150)",28,0.016,"baseline","2009/2010","iquitos","peakinc","bin",135,150
